date,player_name,prop_type,line,odds_type,individual_multiplier,implied_probability,confidence,observations,baseline_used,parlay_payout,last_updated
2025-10-30,Macklin Celebrini,points,0.5,unknown,1.4433756729740645,69.3%,70%,1,Standard pick assumption,2.5,2025-10-30T19:04:31.574411
2025-10-30,Seth Jarvis,points,0.5,unknown,1.4433756729740645,69.3%,70%,1,Standard pick assumption,2.5,2025-10-30T19:04:31.575981
2025-10-30,Sidney Crosby,points,0.5,unknown,1.4433756729740645,69.3%,70%,1,Standard pick assumption,2.5,2025-10-30T19:04:31.577282
2025-10-30,Jake Guentzel,points,0.5,unknown,1.4433756729740645,69.3%,70%,1,Standard pick assumption,2.5,2025-10-30T19:04:31.600637
2025-10-30,Matt Boldy,points,0.5,unknown,1.4433756729740645,69.3%,70%,1,Standard pick assumption,2.5,2025-10-30T19:04:31.602021
2025-10-30,Mikko Rantanen,points,0.5,unknown,1.4433756729740645,69.3%,70%,1,Standard pick assumption,2.5,2025-10-30T19:04:31.603319
2025-10-30,Nico Hischier,points,0.5,unknown,1.4433756729740645,69.3%,70%,1,Standard pick assumption,2.5,2025-10-30T19:04:31.622580
2025-10-30,Jesper Bratt,points,0.5,unknown,1.299038105676658,77.0%,70%,1,Standard pick assumption,2.25,2025-10-30T19:04:31.585185
2025-10-30,Mark Scheifele,points,0.5,unknown,1.299038105676658,77.0%,70%,1,Standard pick assumption,2.25,2025-10-30T19:04:31.586525
2025-10-30,Matt Boldy,shots,2.5,unknown,1.299038105676658,77.0%,70%,1,Standard pick assumption,2.25,2025-10-30T19:04:31.587777
2025-10-30,Sebastian Aho,points,0.5,unknown,1.299038105676658,77.0%,70%,1,Standard pick assumption,2.25,2025-10-30T19:04:31.589036
2025-10-30,David Pastrnak,shots,2.5,unknown,1.299038105676658,77.0%,70%,1,Standard pick assumption,2.25,2025-10-30T19:04:31.617080
2025-10-30,Jack Hughes,shots,2.5,unknown,1.299038105676658,77.0%,70%,1,Standard pick assumption,2.25,2025-10-30T19:04:31.618338
2025-10-30,Kirill Kaprizov,shots,2.5,unknown,1.299038105676658,77.0%,70%,1,Standard pick assumption,2.25,2025-10-30T19:04:31.619581
2025-10-30,Kyle Connor,shots,2.5,unknown,1.299038105676658,77.0%,70%,1,Standard pick assumption,2.25,2025-10-30T19:04:31.620922
2025-10-30,Nikita Kucherov,shots,2.5,unknown,1.299038105676658,77.0%,70%,1,Standard pick assumption,2.25,2025-10-30T19:04:31.625854
2025-10-30,David Pastrnak,points,0.5,unknown,1.1547005383792517,86.6%,70%,1,Standard pick assumption,2.0,2025-10-30T19:04:31.610194
2025-10-30,Jack Hughes,points,0.5,unknown,1.1547005383792517,86.6%,70%,1,Standard pick assumption,2.0,2025-10-30T19:04:31.611858
2025-10-30,Kirill Kaprizov,points,0.5,unknown,1.1547005383792517,86.6%,70%,1,Standard pick assumption,2.0,2025-10-30T19:04:31.613191
2025-10-30,Nikita Kucherov,points,0.5,unknown,1.1547005383792517,86.6%,70%,1,Standard pick assumption,2.0,2025-10-30T19:04:31.614476
2025-10-30,Tage Thompson,shots,2.5,unknown,1.1547005383792517,86.6%,70%,1,Standard pick assumption,2.0,2025-10-30T19:04:31.615738
2025-10-30,Kyle Connor,points,0.5,unknown,1.1547005383792517,86.6%,70%,1,Standard pick assumption,2.0,2025-10-30T19:04:31.624410
